City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,nova sintra,14.8667,-24.7167,22.56,68,74,2.65,CV,1699661213
348,unhel,23.3333,75.5667,20.84,49,0,1.2,IN,1699661359
349,kirawsk,53.2686,29.4736,5.68,82,100,5.32,BY,1699661359
350,barabai,-2.5833,115.3833,29.72,62,53,0.72,ID,1699661360
351,borogontsy,62.6683,131.1683,-31.91,100,35,0.63,RU,1699661360
352,chulakkurgan,43.765,69.1814,8.08,38,99,2.13,KZ,1699661361
353,swakopmund,-22.6833,14.5333,15.55,86,66,2.05,NA,1699661274
354,dakhla,23.6848,-15.958,20.04,84,7,7.7,EH,1699661363
355,maragogi,-9.0122,-35.2225,24.82,74,7,4.06,BR,1699661363
356,kaesong,37.9708,126.5544,0.18,36,100,2.22,KP,1699661364
357,pemangkat,1.1667,108.9667,25.74,85,100,2.02,ID,1699661364
358,kapuskasing,49.4169,-82.4331,-7.47,96,47,1.98,CA,1699661243
359,bangui,4.3612,18.555,22.07,98,100,0.19,CF,1699661365
360,port blair,11.6667,92.75,25.02,94,40,0.0,IN,1699661365
